id,filename,voice,frequency,word,phones,length,correct
1,ə_b_ɔ_ɹ_d-en-US-Wavenet-A,en-US-Wavenet-A,7768,aboard,ə b ɔ ɹ d,5,1
1,ə_v_ɪ_ɹ_d-en-US-Wavenet-A,en-US-Wavenet-A,,,ə v ɪ ɹ d,5,0
1,ə_b_ɔ_ɹ_d-en-US-Wavenet-B,en-US-Wavenet-B,7768,aboard,ə b ɔ ɹ d,5,1
1,ə_v_ɪ_ɹ_d-en-US-Wavenet-B,en-US-Wavenet-B,,,ə v ɪ ɹ d,5,0
1,ə_b_ɔ_ɹ_d-en-US-Wavenet-C,en-US-Wavenet-C,7768,aboard,ə b ɔ ɹ d,5,1
1,ə_v_ɪ_ɹ_d-en-US-Wavenet-C,en-US-Wavenet-C,,,ə v ɪ ɹ d,5,0
1,ə_b_ɔ_ɹ_d-en-US-Wavenet-F,en-US-Wavenet-F,7768,aboard,ə b ɔ ɹ d,5,1
1,ə_v_ɪ_ɹ_d-en-US-Wavenet-F,en-US-Wavenet-F,,,ə v ɪ ɹ d,5,0
2,ɪ_v_eɪ_d_ɪ_d-en-US-Wavenet-A,en-US-Wavenet-A,1102,evaded,ɪ v eɪ d ɪ d,6,1
2,ɪ_v_oʊ_d_ɪ_d-en-US-Wavenet-A,en-US-Wavenet-A,,,ɪ v oʊ d ɪ d,6,0
2,ɪ_v_eɪ_d_ɪ_d-en-US-Wavenet-B,en-US-Wavenet-B,1102,evaded,ɪ v eɪ d ɪ d,6,1
2,ɪ_v_oʊ_d_ɪ_d-en-US-Wavenet-B,en-US-Wavenet-B,,,ɪ v oʊ d ɪ d,6,0
2,ɪ_v_eɪ_d_ɪ_d-en-US-Wavenet-C,en-US-Wavenet-C,1102,evaded,ɪ v eɪ d ɪ d,6,1
2,ɪ_v_oʊ_d_ɪ_d-en-US-Wavenet-C,en-US-Wavenet-C,,,ɪ v oʊ d ɪ d,6,0
2,ɪ_v_eɪ_d_ɪ_d-en-US-Wavenet-F,en-US-Wavenet-F,1102,evaded,ɪ v eɪ d ɪ d,6,1
2,ɪ_v_oʊ_d_ɪ_d-en-US-Wavenet-F,en-US-Wavenet-F,,,ɪ v oʊ d ɪ d,6,0
3,æ_dʒ_ə_t_eɪ_ʃ_ə_n-en-US-Wavenet-A,en-US-Wavenet-A,9028,agitation,æ dʒ ə t eɪ ʃ ə n,8,1
3,ɑ_dʒ_ə_t_eɪ_t_ə_l-en-US-Wavenet-A,en-US-Wavenet-A,,,ɑ dʒ ə t eɪ t ə l,8,0
3,æ_dʒ_ə_t_eɪ_ʃ_ə_n-en-US-Wavenet-B,en-US-Wavenet-B,9028,agitation,æ dʒ ə t eɪ ʃ ə n,8,1
3,ɑ_dʒ_ə_t_eɪ_t_ə_l-en-US-Wavenet-B,en-US-Wavenet-B,,,ɑ dʒ ə t eɪ t ə l,8,0
3,æ_dʒ_ə_t_eɪ_ʃ_ə_n-en-US-Wavenet-C,en-US-Wavenet-C,9028,agitation,æ dʒ ə t eɪ ʃ ə n,8,1
