word	count
anywhere	86
um	1251
comfortable	58
feel	347
you'll	299
that	20710
do	10467
don't	6463
please	1261
is	15884
this	11934
fine	252
that's	11425
okay	11643
fast	275
so	4634
you	47327
how	3579
alex	1000
apart	92
it	21881
takes	121
he	6253
yeah	9878
hi	1038
say	2721
did	3946
can	7967
bit	743
little	5066
usually	151
i'm	4430
today	1089
fresh	96
but	3731
nicer	13
bubbles	351
your	10245
put	5222
where'd	214
oh	14173
later	415
television	25
watch	600
we'll	1391
no	6050
look	4494
two	2268
one	8687
three	1235
whoops	641
push	654
on	11239
turned	105
woo	572
help	1331
need	2102
with	5896
play	2174
to	19827
for	6284
get	4916
we	10466
else	1120
what	14082
done	785
y'all	1
c'mon	97
boy	930
good	4737
not	4347
eat	1733
tasty	94
very	3028
honey	2743
leave	544
have	7119
who's	1755
ignore	18
just	4059
here	7453
over	2754
alphabet	63
here's	1710
dip	43
wow	1697
balloon	162
the	47196
where's	2134
how's	270
there	8242
out	3616
you're	5349
think	5207
them	2734
where	3202
idea	410
cause	319
pieces	327
left	277
any	835
box	770
in	13429
what's	4925
toy	248
of	8620
bottom	205
they're	1321
maybe	1469
truck	754
swing	153
go	7472
wanna	5117
know	5554
twisted	15
all	4386
it's	8037
happened	365
bus	436
school	636
other	1824
rake	79
take	1819
can't	1325
couple	154
bird	621
big	2775
huh	2235
bout	343
some	4799
clean	741
puzzle	260
ready	1286
right	8744
hands	516
hold	825
dusty	5
em	181
rest	225
find	1349
if	2878
see	7941
lift	99
feels	70
nobody	74
crummy	4
everybody	139
another	1314
found	495
ernie	77
wee	467
small	424
and	23443
down	2904
under	541
postman	2
up	5580
sad	201
happy	494
rock	177
below	43
above	70
are	8343
careful	621
nap	145
nice	1419
turtle	179
grover	21
stuck	494
he's	2041
thank	1524
dawn	9
prairie	18
getting	563
why's	7
drums	34
played	94
books	559
tree	585
star	275
dough	298
fish	591
outside	462
hot	384
too	2988
because	2070
things	958
we're	1764
way	1438
try	1110
let's	4615
wrong	163
mommy	3203
me	5731
excuse	149
beads	56
i'll	2613
octopus	62
ones	455
sitting	354
goes	1080
nope	239
come	2638
shoe	169
my	4376
job	677
oop	227
cow	309
hat	790
blue	1343
him	1790
bless	120
polished	5
jump	181
orange	565
starfish	61
tea	279
remember	1264
alright	2238
nervous	21
makes	281
red	1277
fishy	41
want	4476
d'you	292
project	14
daddy's	462
green	1206
ball	1268
yellow	855
helping	85
aw	323
chest	49
treasure	11
sign	90
fishing	21
anymore	178
piggy	114
kiss	481
cold	374
duh	66
missing	150
now	3692
drooling	5
doing	1536
what're	241
car	1162
bat	103
button	251
thing	762
room	698
be	4300
must	374
boat	211
bee	198
sit	1221
gave	264
ya	1696
like	8840
would	2730
sweet	237
was	4839
throw	479
pop	506
better	670
tired	261
matter	199
does	2265
sorry	496
fits	84
these	1775
hook	105
head	663
read	1619
enough	261
something's	33
nose	588
his	2839
follows	9
opposites	30
book	2362
well	3011
as	1029
work	621
will	1553
snuffle	11
or	2333
beak	36
smell	124
noses	10
our	902
use	727
again	1046
ahead	330
fit	289
piece	713
dry	179
hung	22
clothes	285
washed	52
freshly	5
pie	344
blueberry	73
bakes	3
while	559
bread	224
tall	174
short	88
flowers	197
full	180
field	43
from	1308
breath	19
showers	10
summer	122
warm	203
after	612
trees	175
earth	107
bug	164
tweedle	20
daddy	1799
football	85
junk	16
pile	98
oscar's	7
pass	31
dub	34
rub	77
tubby	16
filled	41
bubble	111
relax	28
off	1916
funny	707
narrow	28
wide	120
gonna	5862
had	1391
chair	692
rubber	72
grouchy	6
escape	10
zoo	234
bear	1692
new	1043
empty	134
went	1001
far	186
near	183
spoon	300
singing	134
love	856
birds	222
noise	248
babies	290
something	1459
loves	208
everyone	149
hello	1034
elmo	269
who	2037
guess	393
coo	27
pigeons	12
burt	3
toys	292
kids	156
goodbye	87
supplies	11
ride	261
cry	55
tears	19
wipe	153
mud	74
roll	226
piggies	18
gone	288
step	109
end	304
snow	487
penguins	42
feet	427
got	1843
i've	315
ah	1148
crow	20
roosters	16
early	109
wake	118
farmers	20
yay	724
lunch	250
delicious	308
going	1867
library	179
zoey	16
hug	174
give	1221
kay	98
quietly	15
whispers	5
drum	79
counting	35
count	228
oops	534
set	328
exercise	12
monsters	11
check	225
pressed	9
station	95
news	23
gum	35
around	958
turn	885
peekaboo	108
playing	453
her	2986
natasha	6
bananas	114
monkeys	67
yourself	308
hit	172
could	1778
socks	186
where're	19
pool	59
trash	38
grouches	2
backwards	91
ignoring	2
dog	564
cute	306
has	2142
lovely	111
at	4424
an	1808
true	216
told	243
forwards	7
they	4179
thirsty	78
there's	3421
peaches	34
flying	154
remote	11
silly	767
crazy	74
silliest	11
stool	45
foot	322
telly	12
apple	485
train	826
sharing	37
about	2932
slide	192
grapes	122
straps	13
losing	16
says	1073
drink	311
mm	2563
saying	311
shovel	92
bert	45
rough	31
banana	319
carrots	143
wind	101
away	1055
alex's	38
quick	102
baseball	62
telephone	64
loud	139
shush	4
crackers	56
track	287
uh	1610
by	866
showed	51
candle	22
made	710
