word	phonetic	syllabic
'bout	b aʊ t	
'cause	k ə z	
'course	k ɔ ɹ s	
'cuse	k j uː z	
'em	ə m	
'frisco	f ɹ ɪ s k oʊ	
'gain	ɡ ɛ n	
'kay	k eɪ	
'm	ə m	
'n	ə n	
'round	ɹ aʊ n d	
's	ɛ s	
'til	t ɪ l	
'tis	t ɪ z	
'twas	t w ʌ z	
a	ə	
a's	eɪ z	
a.	eɪ	
a.'s	eɪ z	
a.d.	eɪ d iː	
a.m.	eɪ ɛ m	
a.s	eɪ z	
aaa	t ɹ ɪ p ə l eɪ	
aaberg	ɑ b ə ɹ ɡ	
aachen	ɑ k ə n	
aachener	ɑ k ə n ə ɹ	
aaker	ɑ k ə ɹ	
aalborg	ɔ l b ɔ ɹ ɡ	
aalburg	æ l b ə ɹ ɡ	
aalen	æ l ə n	
aaliyah	ɑ l iː ɑ	
aalseth	ɑ l s ɛ θ	
aalsmeer	ɑ l s m ɪ ɹ	
aalto	ɑ l t oʊ	
aamodt	ɑ m ə t	
aancor	ɑ n k ɔ ɹ	
aardema	ɑ ɹ d ɛ m ə	
aardvark	ɑ ɹ d v ɑ ɹ k	
aardvarks	ɑ ɹ d v ɑ ɹ k s	
aargh	ɑ ɹ ɡ	
aarhus	ɑ h uː s	
aaron	ɛ ɹ ə n	
aaron's	ɛ ɹ ə n z	
aarons	ɛ ɹ ə n z	
aaronson	ɛ ɹ ə n s ə n	
aaronson's	ɛ ɹ ə n s ə n z	
aarti	ɑ ɹ t iː	
aase	ɑ s	
aasen	ɑ s ə n	
ab	æ b	
aba	eɪ b iː eɪ	
ababa	ə b ɑ b ə	
abacha	æ b ə k ə	
aback	ə b æ k	
abaco	æ b ə k oʊ	
abacus	æ b ə k ə s	
abad	ə b ɑ d	
abadaka	ə b æ d ə k ə	
abadi	ə b æ d iː	
abadie	ə b æ d iː	
abair	ə b ɛ ɹ	
abalkin	ə b ɑ l k ɪ n	
abalone	æ b ə l oʊ n iː	
abalones	æ b ə l oʊ n iː z	
abalos	ɑ b ɑ l oʊ z	
abandon	ə b æ n d ə n	
abandoned	ə b æ n d ə n d	
abandoning	ə b æ n d ə n ɪ ŋ	
abandonment	ə b æ n d ə n m ə n t	
abandonments	ə b æ n d ə n m ə n t s	
abandons	ə b æ n d ə n z	
abanto	ə b æ n t oʊ	
abarca	ə b ɑ ɹ k ə	
abare	ɑ b ɑ ɹ iː	
abascal	æ b ə s k ə l	
abash	ə b æ ʃ	
abashed	ə b æ ʃ t	
abasia	ə b eɪ ʒ j ə	
abate	ə b eɪ t	
abated	ə b eɪ t ɪ d	
abatement	ə b eɪ t m ə n t	
abatements	ə b eɪ t m ə n t s	
abates	ə b eɪ t s	
abating	ə b eɪ t ɪ ŋ	
abattoir	æ b ə t w ɑ ɹ	
abba	æ b ə	
abbado	ə b ɑ d oʊ	
abbas	ə b ɑ s	
abbasi	ɑ b ɑ s iː	
abbate	ɑ b eɪ t	
abbatiello	ɑ b ɑ t iː ɛ l oʊ	
abbe	æ b iː	
abbenhaus	æ b ə n h aʊ s	
abbett	ə b ɛ t	
abbeville	æ b v ɪ l	
abbey	æ b iː	
abbey's	æ b iː z	
abbie	æ b iː	
abbitt	æ b ɪ t	
abbot	æ b ə t	
abbotstown	æ b ə t s t aʊ n	
abbott	æ b ə t	
abbott's	æ b ə t s	
abbottstown	æ b ə t s t aʊ n	
abboud	ə b uː d	
abbreviate	ə b ɹ iː v iː eɪ t	
abbreviated	ə b ɹ iː v iː eɪ t ɪ d	
abbreviates	ə b ɹ iː v iː eɪ t s	
abbreviating	ə b ɹ iː v iː eɪ t ɪ ŋ	
abbreviation	ə b ɹ iː v iː eɪ ʃ ə n	
abbreviations	ə b ɹ iː v iː eɪ ʃ ə n z	
abbruzzese	ɑ b ɹ uː t s eɪ z iː	
abbs	æ b z	
abby	æ b iː	
abc	eɪ b iː s iː	
abc's	eɪ b iː s iː z	
abco	æ b k oʊ	
abcotek	æ b k oʊ t ɛ k	
abcs	eɪ b iː s iː z	
abd	eɪ b iː d iː	
abdalla	æ b d æ l ə	
abdallah	æ b d æ l ə	
abdel	æ b d ɛ l	
abdella	æ b d ɛ l ə	
abdicate	æ b d ə k eɪ t	
abdicated	æ b d ə k eɪ t ɪ d	
