phones,frequency
ɛ n iː w ɛ ɹ,86
ʌ m,1
k ʌ m f ə ɹ t ə b ə l,58
f iː l,347
j uː l,299
ð æ t,20710
d uː,15
d oʊ n t,6463
p l iː z,1261
ɪ z,15884
ð ɪ s,11934
f aɪ n,252
ð æ t s,11425
oʊ k eɪ,11643
f æ s t,275
s oʊ,9
j uː,2
h aʊ,3579
æ l ə k s,1000
ə p ɑ ɹ t,92
ɪ t,21881
t eɪ k s,121
h iː,382
j æ,9878
h aɪ,218
s eɪ,2721
d ɪ d,3946
k æ n,7967
b ɪ t,743
l ɪ t ə l,5066
j uː ʒ ə w ə l iː,151
aɪ m,4430
t ə d eɪ,1089
f ɹ ɛ ʃ,96
b ʌ t,1
n aɪ s ə ɹ,13
b ʌ b ə l z,351
j ɔ ɹ,10245
p ʊ t,5222
w ɛ ɹ d,214
oʊ,3
l eɪ t ə ɹ,415
t ɛ l ə v ɪ ʒ ə n,25
w ɑ tʃ,600
w iː l,115
n oʊ,5554
l ʊ k,4494
t uː,2
w ʌ n,10
θ ɹ iː,1235
w uː p s,641
p ʊ ʃ,654
ɑ n,11239
t ɜː n d,105
w uː,2
h ɛ l p,1331
n iː d,10
w ɪ ð,5896
p l eɪ,2174
f ɔ ɹ,2
ɡ ɛ t,4916
w iː,467
ɛ l s,1120
w ʌ t,14082
d ʌ n,9
j ɔ l,1
k ə m ɑ n,97
b ɔɪ,930
ɡ ʊ d,4737
n ɑ t,7
iː t,1733
t eɪ s t iː,94
v ɛ ɹ iː,1
h ʌ n iː,2743
l iː v,544
h æ v,7119
h uː z,156
ɪ ɡ n ɔ ɹ,18
dʒ ʌ s t,4059
h iː ɹ,495
oʊ v ə ɹ,2754
æ l f ə b ɛ t,63
h ɪ ɹ z,1710
d ɪ p,43
w aʊ,1697
b ə l uː n,162
ð ə,47196
w ɛ ɹ z,58
h aʊ z,270
ð ɛ ɹ,765
aʊ t,3616
j ʊ ɹ,5349
θ ɪ ŋ k,5207
ð ɛ m,2734
w ɛ ɹ,2
aɪ d iː ə,410
k ɑ z,319
p iː s ə z,327
l ɛ f t,277
ɛ n iː,835
b ɑ k s,770
ɪ n,1
w ʌ t s,4925
t ɔɪ,248
ʌ v,8620
b ɑ t ə m,205
m eɪ b iː,1469
t ɹ ʌ k,754
s w ɪ ŋ,153
ɡ oʊ,7472
w ɑ n ə,5117
